###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-05 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
2.850433, 3.546698, 0.029693, 0.000029
2.881261, 3.565357, 0.030828, 0.000029
2.913355, 3.583852, 0.032094, 0.000029
2.946871, 3.602142, 0.033516, 0.000029
2.982001, 3.620179, 0.035130, 0.000028
3.018983, 3.637901, 0.036982, 0.000028
3.058118, 3.655230, 0.039135, 0.000027
3.099797, 3.672067, 0.041679, 0.000027
3.144547, 3.688280, 0.044750, 0.000026
3.193102, 3.703687, 0.048555, 0.000024
3.246545, 3.718030, 0.053443, 0.000023
3.306604, 3.730920, 0.060059, 0.000021
3.376392, 3.741723, 0.069788, 0.000018
3.462959, 3.749275, 0.086567, 0.000013
3.599240, 3.750881, 0.136281, 0.000004
3.748226, 3.733553, 0.148986, -0.000024
3.852177, 3.708651, 0.103951, -0.000037
3.929989, 3.684420, 0.077813, -0.000037
3.995518, 3.660532, 0.065529, -0.000037
4.053505, 3.636897, 0.057987, -0.000036
4.106268, 3.613474, 0.052763, -0.000036
4.155149, 3.590243, 0.048881, -0.000036
4.201009, 3.567191, 0.045860, -0.000036
4.244440, 3.544310, 0.043432, -0.000035
4.285873, 3.521593, 0.041433, -0.000035
4.325631, 3.499036, 0.039758, -0.000035
4.363966, 3.476635, 0.038334, -0.000035
4.401077, 3.454388, 0.037111, -0.000035
4.437128, 3.432292, 0.036051, -0.000034
4.472255, 3.410345, 0.035127, -0.000034
4.506573, 3.388544, 0.034318, -0.000034
4.540180, 3.366889, 0.033606, -0.000034
4.573160, 3.345378, 0.032981, -0.000034
4.605590, 3.324009, 0.032430, -0.000033
4.637536, 3.302781, 0.031946, -0.000033
4.669058, 3.281693, 0.031522, -0.000033
4.700211, 3.260744, 0.031154, -0.000033
4.731047, 3.239932, 0.030836, -0.000032
4.761613, 3.219257, 0.030566, -0.000032
4.791953, 3.198717, 0.030340, -0.000032
4.822110, 3.178311, 0.030157, -0.000032
4.852126, 3.158040, 0.030016, -0.000032
4.882041, 3.137900, 0.029915, -0.000031
4.911894, 3.117893, 0.029854, -0.000031
4.941727, 3.098016, 0.029833, -0.000031
4.971563, 3.078283, 0.029837, -0.000031
5.001415, 3.058716, 0.029852, -0.000031
5.031301, 3.039336, 0.029885, -0.000030
